path,label
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00001_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00002_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00003_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00004_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00005_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00006_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00007_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00008_lr,2
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00010_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00011_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00012_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00013_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00014_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00015_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00016_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00019_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00021_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00022_lr,4
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00024_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00025_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00026_lr,4
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00027_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00028_lr,4
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00029_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00030_lr,1
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00031_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00032_lr,0
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00033_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00035_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00036_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00037_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00041_lr,0
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00042_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00043_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00044_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00046_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00047_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00048_lr,4
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00049_lr,0
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00051_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00052_lr,0
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00053_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00054_lr,4
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00055_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00056_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00058_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00060_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00061_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00062_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00064_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00066_lr,3
../../../../../data/padmalab_external/special_project/physionet.org/files/ptb-xl/1.0.3/records100/00000/00067_lr,3
